name,province_id
MİDYAT,47
NUSAYBİN,47
ÖMERLİ,47
SAVUR,47
DARGEÇİT,47
YEŞİLLİ,47
ARTUKLU,47
BOR,51
ÇAMARDI,51
MERKEZ,51
ULUKIŞLA,51
ALTUNHİSAR,51
ÇİFTLİK,51
ALAÇAM,55
BAFRA,55
ÇARŞAMBA,55
HAVZA,55
KAVAK,55
LADİK,55
TERME,55
VEZİRKÖPRÜ,55
ASARCIK,55
19 MAYIS,55
SALIPAZARI,55
TEKKEKÖY,55
AYVACIK,55
YAKAKENT,55
ATAKUM,55
CANİK,55
İLKADIM,55
ÇERKEZKÖY,59
ÇORLU,59
HAYRABOLU,59
MALKARA,59
MURATLI,59
SARAY,59
ŞARKÖY,59
MARMARAEREĞLİSİ,59
ERGENE,59
KAPAKLI,59
SÜLEYMANPAŞA,59
AKÇAKALE,63
BİRECİK,63
BOZOVA,63
CEYLANPINAR,63
HALFETİ,63
HİLVAN,63
SİVEREK,63
SURUÇ,63
VİRANŞEHİR,63
HARRAN,63
EYYÜBİYE,63
HALİLİYE,63
KARAKÖPRÜ,63
ÇAYCUMA,67
DEVREK,67
EREĞLİ,67
MERKEZ,67
ALAPLI,67
GÖKÇEBEY,67
KİLİMLİ,67
KOZLU,67
DELİCE,71
KESKİN,71
MERKEZ,71
SULAKYURT,71
BAHŞİLİ,71
BALIŞEYH,71
ÇELEBİ,71
KARAKEÇİLİ,71
YAHŞİHAN,71
MERKEZ,75
ÇILDIR,75
GÖLE,75
HANAK,75
POSOF,75
DAMAL,75
MERKEZ,79
ELBEYLİ,79
MUSABEYLİ,79
POLATELİ,79
MERKEZ,4
DİYADİN,4
DOĞUBAYAZIT,4
ELEŞKİRT,4
HAMUR,4
PATNOS,4
TAŞLIÇAY,4
TUTAK,4
ARDANUÇ,8
ARHAVİ,8
MERKEZ,8
BORÇKA,8
HOPA,8
ŞAVŞAT,8
YUSUFELİ,8
MURGUL,8
MERKEZ,12
GENÇ,12
KARLIOVA,12
KİĞI,12
SOLHAN,12
ADAKLI,12
YAYLADERE,12
YEDİSU,12
GEMLİK,16
İNEGÖL,16
İZNİK,16
KARACABEY,16
KELES,16
MUDANYA,16
MUSTAFAKEMALPAŞA,16
ORHANELİ,16
ORHANGAZİ,16
YENİŞEHİR,16
BÜYÜKORHAN,16
HARMANCIK,16
NİLÜFER,16
OSMANGAZİ,16
YILDIRIM,16
GÜRSU,16
KESTEL,16
ACIPAYAM,20
BULDAN,20
ÇAL,20
ÇAMELİ,20
ÇARDAK,20
ÇİVRİL,20
GÜNEY,20
KALE,20
SARAYKÖY,20
TAVAS,20
BABADAĞ,20
BEKİLLİ,20
HONAZ,20
SERİNHİSAR,20
PAMUKKALE,20
BAKLAN,20
BEYAĞAÇ,20
BOZKURT,20
MERKEZEFENDİ,20
ÇAYIRLI,24
MERKEZ,24
İLİÇ,24
KEMAH,24
KEMALİYE,24
REFAHİYE,24
TERCAN,24
ÜZÜMLÜ,24
OTLUKBELİ,24
ALUCRA,28
BULANCAK,28
DERELİ,28
ESPİYE,28
EYNESİL,28
MERKEZ,28
GÖRELE,28
KEŞAP,28
ŞEBİNKARAHİSAR,28
TİREBOLU,28
PİRAZİZ,28
YAĞLIDERE,28
ÇAMOLUK,28
ÇANAKÇI,28
DOĞANKENT,28
GÜCE,28
ATABEY,32
EĞİRDİR,32
GELENDOST,32
MERKEZ,32
KEÇİBORLU,32
SENİRKENT,32
SÜTÇÜLER,32
ŞARKİKARAAĞAÇ,32
ULUBORLU,32
YALVAÇ,32
AKSU,32
GÖNEN,32
YENİŞARBADEMLİ,32
ARPAÇAY,36
DİGOR,36
KAĞIZMAN,36
MERKEZ,36
SARIKAMIŞ,36
SELİM,36
SUSUZ,36
AKYAKA,36
ÇİÇEKDAĞI,40
KAMAN,40
MERKEZ,40
MUCUR,40
AKPINAR,40
AKÇAKENT,40
BOZTEPE,40
AKÇADAĞ,44
ARAPGİR,44
ARGUVAN,44
DARENDE,44
DOĞANŞEHİR,44
HEKİMHAN,44
PÜTÜRGE,44
YEŞİLYURT,44
BATTALGAZİ,44
DOĞANYOL,44
KALE,44
KULUNCAK,44
YAZIHAN,44
BODRUM,48
DATÇA,48
FETHİYE,48
KÖYCEĞİZ,48
MARMARİS,48
MİLAS,48
ULA,48
YATAĞAN,48
DALAMAN,48
ORTACA,48
KAVAKLIDERE,48
MENTEŞE,48
SEYDİKEMER,48
AKKUŞ,52
AYBASTI,52
FATSA,52
GÖLKÖY,52
KORGAN,52
KUMRU,52
MESUDİYE,52
PERŞEMBE,52
ULUBEY,52
ÜNYE,52
GÜLYALI,52
GÜRGENTEPE,52
ÇAMAŞ,52
ÇATALPINAR,52
ÇAYBAŞI,52
İKİZCE,52
KABADÜZ,52
KABATAŞ,52
ALTINORDU,52
BAYKAN,56
ERUH,56
KURTALAN,56
PERVARİ,56
MERKEZ,56
ŞİRVAN,56
TİLLO,56
ALMUS,60
ARTOVA,60
ERBAA,60
NİKSAR,60
REŞADİYE,60
MERKEZ,60
TURHAL,60
ZİLE,60
PAZAR,60
YEŞİLYURT,60
BAŞÇİFTLİK,60
SULUSARAY,60
BANAZ,64
EŞME,64
KARAHALLI,64
SİVASLI,64
ULUBEY,64
MERKEZ,64
MERKEZ,68
ORTAKÖY,68
AĞAÇÖREN,68
GÜZELYURT,68
